blog_id,blogger,bloggerlink,latest_post_title,latest_post_link,latest_post_date,latest_post_engagement,median_engagement,posts_last_90d,score
fattyratpigeon,하이앤드탐방돼지설치류,blog.naver.com/fattyratpigeon,프라다 모노크롬 하이퍼매트 라끄핑크 립스틱 후기,https://blog.naver.com/fattyratpigeon/223961382077,2025-08-06,55,55,1,0.8722
qmfosej,뷰티 데일리 @이람님,blog.naver.com/qmfosej,신상 올리브영 틴트 추천 3단광틴트 라카 맥시글레이어틴트 후기!,https://blog.naver.com/qmfosej/223916382838,2025-06-30,15,15,2,0.5533
dudfks1909,T와 함께하는 유쾌한 일상이야기,blog.naver.com/dudfks1909,촉촉한 글로우립 샬랑 드 파리 오뜨 쥬얼 샤인 립스틱 사용후기,https://blog.naver.com/dudfks1909/223915583037,2025-06-29,22,22,1,0.5045
yangeunb,은비의 블로썸 뷰티 & 패션✨,blog.naver.com/yangeunb,힌스 신상 로즈프레소 컬렉션으로 데일리메이크업(MLBB... ,https://blog.naver.com/yangeunb/223954727403,2025-08-01,7,5,2,0.4507
doublesholdings,뷰티 패션에 진심인 뷰리진,blog.naver.com/doublesholdings,립플럼퍼 플럼핑 립글로스 물먹탱글립 여름 데일리 메이크업,https://blog.naver.com/doublesholdings/223975582387,2025-08-19,3,4,2,0.4489
miomi__,미오미의 감성기록,blog.naver.com/miomi__,[제품리뷰] 립밤보다 편한 립스틱✨ 샤넬 코코 플래쉬 실사용 리뷰,https://blog.naver.com/miomi__/223961585381,2025-08-07,0,0,2,0.3974
dlthdus6902,Seize the Day,blog.naver.com/dlthdus6902,"디아엘뷰티, 수분가득 블랙틴트 케라틴 스페셜펌 후기",https://blog.naver.com/dlthdus6902/223924862649,2025-07-07,11,11,1,0.3861
lovekong_glass,럽콩의 교복뷰티,blog.naver.com/lovekong_glass,샬랑 드 파리 오뜨 쥬얼 샤인 촉촉한 립스틱 리뷰... ,https://blog.naver.com/lovekong_glass/223918476302,2025-07-01,11,11,1,0.3849
hellodany_,헬로다니,blog.naver.com/hellodany_,"신제품, 모노크롬 핑크로 만나는 여름 매트 립스틱 신상 리뷰",https://blog.naver.com/hellodany_/223966811023,2025-08-11,10,10,1,0.3823
486xhxh,쥔이로그 : 뷰티&패션&팝업,blog.naver.com/486xhxh,"다이소 립타투 핑크티커 2호 후기, 본셉 틴트 지속력은?",https://blog.naver.com/486xhxh/223954382459,2025-07-31,2,10,1,0.3801
